"","ID","ID_year","ID_Rater1","ID_Rater2","Score_Rater1","Score_Rater2","C_extra_1","C_extra_2","C_sum_1","C_sum_2","L_extra_1","L_extra_2","L_struct_1","L_struct_2","L_style_1","L_style_2","L_syntax_1","L_syntax_2"
"30",100028,12,"0001d4e3","0001d4e4",44,45,0,1,27,28,1,1,5,6,5,4,6,5
"31",100029,12,"0001d39f","0000cee7",40,36,0,0,28,26,0,0,6,5,5,3,1,2
"32",100030,10,"0001de3e","0000cab9",22,21,0,0,16,14,0,0,6,5,0,2,0,0
"33",100031,14,"0000cbf8","0000c9bc",34,28,0,0,24,18,0,0,6,5,3,3,1,2
"34",100032,11,"0001daa6","0001ae08",35,35,0,0,24,23,0,0,6,6,3,4,2,2
"35",100033,11,"0001d181","0001dbd4",41,37,1,0,28,22,0,0,5,6,4,5,3,4
"36",100034,10,"0001dc20","0001dc14",24,18,0,0,16,13,0,0,6,2,2,2,0,1
"37",100034,11,"0000ceeb","0001b120",39,28,2,2,25,18,0,0,5,5,5,3,2,0
"38",100035,10,"0001dbe0","0000cee3",24,27,0,0,16,15,0,0,4,6,4,4,0,2
"41",100037,12,"0001b105","0001dc09",18,24,0,0,14,19,0,0,4,4,0,1,0,0
"42",100038,13,"0001dbb3","0001d457",30,28,0,0,17,22,0,0,6,3,4,3,3,0
"43",100039,10,"0001dc15","0001b108",50,44,1,0,29,21,0,3,6,6,6,6,8,8
"44",100040,13,"0001a9ca","0001dc09",32,32,0,0,20,20,0,0,6,6,4,4,2,2
"45",100041,11,"0000cac0","0001dbff",35,27,0,0,24,14,0,0,5,5,4,5,2,3
"46",100042,12,"0001dbd6","0001d588",35,34,0,0,18,22,2,0,6,6,5,4,4,2
"49",100045,12,"0001d3a8","0001ad83",28,30,0,0,19,14,0,0,4,6,2,5,3,5
"50",100046,10,"0001de3e","0000cab9",31,27,0,0,23,17,0,0,6,6,2,2,0,2
"51",100047,10,"0001d353","0001d457",30,25,0,0,24,19,0,0,4,3,2,3,0,0
"53",100048,13,"0001ae08","0001dbd8",28,27,0,0,17,17,0,0,5,4,4,4,2,2
"54",100049,14,"0001dbfe","0001dba7",32,29,0,0,19,16,0,0,6,4,5,5,2,4
"55",100050,11,"0001ae09","0001b120",32,39,0,0,25,23,0,2,5,5,1,5,1,4
"56",100051,13,"0001b105","0000ce20",30,35,0,1,21,28,0,0,6,5,3,1,0,0
"58",100053,10,"0001db9d","0001d56e",25,28,0,0,17,18,0,0,4,5,4,5,0,0
"59",100054,11,"0001d580","0001db9d",16,12,0,0,11,4,0,0,3,3,2,4,0,1
"60",100055,11,"0001db8f","0001dba7",33,32,0,0,21,16,0,0,6,6,5,6,1,4
"61",100056,10,"0001dbaf","0001dbb0",34,34,0,0,25,25,0,0,6,6,3,3,0,0
"62",100057,14,"0001dbdc","0001d3aa",45,40,1,1,28,26,0,0,6,6,6,6,4,1
"63",100058,14,"0000cac2","0001d3a6",30,30,0,0,21,22,0,0,5,5,3,2,1,1
"64",100059,10,"0001dbc2","0001d674",36,36,0,0,26,24,0,0,5,6,3,4,2,2
"65",100060,14,"0001d5e1","0001dbf8",32,21,0,0,23,16,0,0,4,2,4,3,1,0
"66",100061,11,"0001d578","0001d3a8",44,39,2,1,22,22,2,0,6,6,5,5,7,5
"67",100062,10,"0001d381","0001d380",30,29,1,0,22,22,0,0,4,4,3,3,0,0
"70",100064,13,"0001d4e2","0001d49a",30,33,0,0,23,23,0,0,4,4,3,4,0,2
"71",100065,10,"0001b141","0001d39f",31,32,0,0,22,18,0,0,5,6,3,5,1,3
"72",100066,13,"0001a9ca","0001dc09",30,35,0,0,15,25,0,0,6,6,6,3,3,1
"74",100068,10,"0001d380","0001d381",33,33,0,1,24,24,0,0,5,5,4,3,0,0
"75",100069,11,"0000ceea","0001d49a",48,37,3,0,29,25,2,0,5,4,4,3,5,5
"76",100070,13,"0001d56b","0001d181",30,34,0,0,17,22,0,0,5,5,5,6,3,1
"77",100071,11,"0001d56a","0001d8b5",36,35,0,0,24,24,0,0,6,5,5,3,1,3
"78",100072,10,"0001d8b5","0001dbea",30,37,0,0,17,23,0,0,6,5,6,5,1,4
"79",100073,10,"0001daa6","0001b0f5",27,34,0,0,19,19,0,0,6,5,2,5,0,5
"80",100074,10,"0001dbb0","0001dbc5",26,30,0,0,17,18,0,0,5,6,3,3,1,3
"81",100075,13,"0001ae1d","0000cccf",33,36,0,0,25,26,0,0,6,6,1,3,1,1
"82",100076,13,"0001dbff","0000ce1f",36,31,0,0,24,17,0,0,6,6,3,5,3,3
"83",100077,11,"0001d5fb","0001daa6",36,28,0,0,28,19,0,0,5,6,3,3,0,0
"84",100078,12,"0001b0fa","0001ae07",26,34,0,0,19,24,0,0,5,6,2,4,0,0
"85",100079,10,"0000ce20","0001d586",32,27,0,0,22,16,0,0,5,5,3,4,2,2
"86",100080,10,"0001d56b","0000ce13",21,24,0,0,15,18,0,0,4,6,2,0,0,0
"87",100081,11,"0001d674","0001dbc2",37,36,0,0,25,25,0,0,6,6,4,3,2,2
"88",100082,11,"0001d58a","0001dc0c",37,36,0,0,23,23,0,0,6,6,5,4,3,3
"89",100083,12,"0001dbb3","0000ce20",27,30,0,0,16,21,0,0,6,5,2,1,3,3
"90",100084,13,"0000ce1d","0001dba7",35,38,0,0,24,24,0,1,6,6,4,5,1,2
"91",100085,10,"0001a9bd","0000cc4c",39,43,1,0,21,24,2,0,6,6,3,6,6,7
"93",100087,13,"0001d66d","0001a9c3",30,36,0,2,24,26,0,0,5,6,1,2,0,0
"94",100088,12,"0001dc09","0001dbce",44,37,1,1,27,24,0,0,5,5,5,3,6,4
"95",100089,11,"0001a9bf","0001dc0c",25,14,0,0,18,11,0,0,5,2,2,1,0,0
"97",100091,11,"0000cee9","0001d577",33,30,0,0,23,19,0,0,5,6,4,4,1,1
"98",100092,10,"0001dbaf","0001dbc5",24,22,0,0,15,12,0,0,5,6,4,3,0,1
"100",100092,11,"0001db8e","0001d3a9",26,25,0,0,19,14,0,0,5,4,2,5,0,2
"101",100093,13,"0001ae1d","0001ae1b",21,27,0,0,15,18,0,0,5,5,1,3,0,1
"102",100094,10,"0001d4e4","0001a9c2",7,0,0,0,6,4,0,0,1,0,0,0,0,0
"107",100096,10,"0001d39e","0001d395",25,25,0,0,13,9,0,0,6,6,4,5,2,5
"108",100097,12,"0000cee7","0001d39f",29,37,0,0,19,21,0,0,4,6,3,5,3,5
"109",100098,12,"0001dbc3","0001dc0b",22,26,0,0,14,17,0,0,5,5,3,3,0,1
"111",100098,14,"0001d56b","0001dbd5",7,17,0,0,3,7,0,0,3,5,1,2,0,3
"113",100099,14,"0000c9b7","0001d570",39,34,1,0,24,26,0,0,5,5,5,3,4,0
"114",100100,12,"0001daa6","0001dbd8",39,34,0,0,25,21,0,0,6,5,5,5,3,3
"115",100101,12,"0001dba6","0001d58a",35,37,0,0,22,23,0,0,5,5,5,5,3,4
"116",100102,11,"0001d497","0001d33e",37,38,0,0,25,21,0,1,6,6,4,4,2,6
"117",100103,13,"0001daa6","0001db8e",28,24,0,0,18,16,0,0,6,5,3,3,1,0
"118",100104,10,"0001b105","0001d381",25,24,0,0,16,15,0,0,6,6,3,3,0,0
"119",100105,10,"0001dbfe","0000cbf8",33,28,1,0,22,22,0,0,6,5,3,1,1,0
"120",100106,14,"0000c9ba","0001d8b2",30,30,0,0,22,22,0,0,4,5,4,2,0,1
"121",100107,11,"0001dbfe","0001db8f",28,29,0,0,19,18,0,0,4,6,5,5,0,0
"122",100108,11,"0001dbeb","0000ceea",25,19,0,0,17,11,0,0,4,5,4,3,0,0
"123",100109,10,"0000cabe","0001b0fa",33,31,0,0,21,23,0,0,6,6,2,1,4,1
"124",100110,11,"0001a9c5","0000cee6",28,27,0,0,19,16,0,0,5,6,2,3,2,2
"125",100111,10,"0001dbd5","0001d569",20,27,0,0,14,19,0,0,5,5,1,3,0,0
"127",100112,13,"0001dbb5","0001b108",30,31,0,0,19,17,0,0,5,6,3,5,3,3
"128",100113,10,"0001d51c","0000cee8",37,31,0,0,25,19,0,0,6,5,4,3,2,4
"129",100114,12,"0000ce20","0001b0f6",30,34,0,0,23,23,0,0,4,6,1,3,2,2
"130",100115,11,"0000c9bb","0000cabf",26,29,0,0,14,15,0,1,5,6,5,3,2,4
"132",100115,12,"0001dc0d","0001dbf8",21,17,0,0,11,10,0,0,5,4,3,3,2,0
"134",100116,13,"0001d3a4","0000ccf0",33,31,0,1,20,20,1,0,6,4,4,4,2,2
"135",100117,12,"0001de3e","0001dbed",42,40,0,0,30,25,0,0,6,6,4,4,2,5
"136",100118,13,"0001d395","0001dc08",34,44,0,2,19,25,0,1,6,6,5,5,4,5
"138",100120,10,"0001a9cb","0001d588",37,37,1,0,26,25,0,0,6,6,3,4,1,2
"139",100121,13,"0001d8b2","0000cbf8",26,29,0,0,16,18,0,0,5,5,2,3,3,3
"142",100123,11,"0001d181","0001d585",21,31,0,0,12,19,0,0,6,6,3,4,0,2
"143",100124,13,"0001ae08","0001dba2",39,36,1,1,28,27,0,0,4,5,5,3,1,0
"144",100125,14,"0001dbb5","0001ae1b",39,27,1,0,26,20,0,0,6,4,5,2,1,1
"145",100126,10,"0001dbce","0001de3e",33,34,0,0,24,24,0,0,6,6,2,2,1,2
"146",100127,10,"0001d56a","0001dbcb",34,32,0,0,23,23,0,0,5,6,5,3,1,0
"148",100129,14,"0000ccfb","0001dbb4",35,25,0,0,22,14,0,0,6,5,4,5,3,1
"149",100130,12,"0001d669","0001dbd7",30,32,0,0,17,18,0,0,6,6,4,5,3,3
"150",100131,12,"0001b0fa","0001ae07",34,37,0,0,25,27,0,0,6,6,3,4,0,0
"151",100132,10,"0001dbdc","0001dbd9",36,32,0,0,23,19,0,0,6,6,5,4,2,3
"153",100134,10,"0001b105","0001d341",33,35,0,0,25,25,0,0,5,5,3,4,0,1
"154",100135,11,"0000cd23","0000c9b4",29,40,0,2,17,26,0,0,5,5,6,5,1,2
"155",100136,13,"0001d674","0001dbc2",39,39,0,0,22,23,0,0,6,6,6,4,5,6
"156",100137,13,"0001d586","0001dbf2",33,39,0,0,23,23,0,0,5,6,4,4,1,6
"159",100139,11,"0000cac2","0001d3a6",38,31,0,0,19,18,1,0,6,6,6,5,6,2
"160",100140,11,"0000c9b6","0001db8f",27,36,0,0,19,21,0,0,5,6,2,5,1,4
"161",100141,12,"0001dbdc","0000ca9f",32,35,0,0,20,17,0,2,5,6,5,6,2,4
"162",100142,12,"0001d2d4","0001d586",34,29,0,0,24,17,0,0,6,6,3,3,1,3
"163",100143,12,"0001d181","0001d8b5",45,46,1,0,30,30,1,0,6,6,5,5,2,5
"164",100144,13,"0001d382","0001ae1b",20,19,0,0,12,15,0,0,4,3,2,0,2,1
"165",100145,12,"0001dbc3","0001d34e",44,44,1,1,27,26,1,1,5,5,3,5,7,6
"166",100146,13,"0001d33e","0001a9c5",44,48,2,2,30,29,0,2,4,6,5,6,3,3
"167",100147,14,"0001a9c0","0000cee0",32,26,0,0,24,17,0,0,5,6,3,3,0,0
"168",100148,13,"0001dbb5","0001d497",42,37,0,2,30,28,0,0,5,5,4,2,3,0
"169",100149,10,"0001d57a","0001dbce",40,34,1,0,30,24,0,0,5,6,3,3,1,1
"170",100150,13,"0000cbf8","0001d8b2",29,27,0,0,19,19,0,0,6,5,4,3,0,0
"171",100151,11,"0001d395","0001dba6",47,40,1,1,29,26,0,0,6,6,6,4,5,3
"172",100152,13,"0001d56a","0001d8b2",35,27,0,0,23,16,0,0,6,6,5,4,1,1
"173",100153,12,"0000cee7","0001d39f",37,42,0,0,27,30,0,0,4,5,3,6,3,1
"175",100155,11,"0001d39f","0001d51c",39,29,1,0,24,18,0,0,6,6,6,5,2,0
"176",100156,13,"0000cee1","0000ce1d",28,25,0,0,21,21,0,0,5,3,2,1,0,0
"177",100157,13,"0001db91","0001d5fb",21,27,0,0,15,20,0,0,5,4,1,3,0,0
"178",100158,11,"0001dc08","0000ccf0",33,34,0,1,20,21,0,0,5,6,5,4,3,2
"179",100159,14,"0000c9be","0000cab4",32,30,0,0,21,18,0,0,5,6,5,4,1,2
"180",100160,10,"0001a9bd","0000cccf",36,38,0,0,23,25,0,0,6,6,4,4,3,3
"181",100161,10,"0001db88","0001d49a",33,32,1,0,19,21,0,0,6,4,5,4,2,3
"183",100162,12,"0001dbe1","0001d8b8",37,23,0,0,24,16,0,0,6,6,5,1,2,0
"184",100163,10,"0001dbed","0001d5f0",26,33,0,0,20,20,0,0,4,6,2,4,0,3
"185",100164,12,"0001a9cb","0001dbff",20,19,0,0,16,13,0,0,4,5,0,1,0,0
"186",100165,12,"0000ca9f","0001b0fa",34,28,2,0,21,19,0,0,6,6,5,3,0,0
"189",100168,10,"0001dbf1","0001d181",28,26,0,0,19,21,0,0,6,4,3,1,0,0
"190",100169,14,"0001d590","0001d57a",32,25,0,0,22,17,0,0,6,2,4,4,0,2
"191",100170,14,"0000c9bd","0000cabf",39,31,2,0,26,20,0,0,6,6,3,3,2,2
"192",100171,14,"0001d3a6","0001dbc3",36,30,0,0,23,18,0,0,6,6,4,3,3,3
"194",100173,12,"0001dc0b","0001d668",31,34,0,0,19,20,0,0,4,5,3,4,5,5
"196",100174,13,"0001d586","0001dbf2",39,38,0,0,23,21,0,0,6,5,5,5,5,7
"197",100175,13,"0001dbb5","0001d497",41,40,0,1,28,27,0,0,6,6,4,4,3,2
"198",100176,11,"0001dbd7","0001d669",47,48,0,0,28,29,1,1,6,6,6,6,6,6
"199",100177,10,"0001dbcb","0001a9cc",41,48,1,3,24,25,0,3,6,6,4,5,6,6
"200",100178,11,"0001ad85","0000c9b3",28,33,0,0,18,16,0,2,5,5,5,5,0,5
"201",100179,14,"0000cbf8","0001dbea",34,28,0,0,22,19,0,0,6,6,3,3,3,0
"203",100180,14,"0001d30c","0001d5e1",38,30,0,0,28,25,0,0,3,3,4,2,3,0
"204",100181,12,"0000cee3","0001d577",32,31,0,0,18,18,0,0,6,6,4,3,4,4
"205",100182,10,"0000ce21","0001d382",28,30,0,0,14,16,0,0,5,6,5,5,4,3
"206",100183,13,"0001d497","0001d33e",26,26,0,0,16,14,0,0,3,5,5,3,2,4
"207",100184,14,"0001a9cb","0000c9b6",29,27,0,0,16,16,0,0,5,6,3,3,5,2
"208",100185,11,"0001dbd5","0001d569",36,33,1,0,25,22,1,0,5,6,4,3,0,2
"209",100186,11,"0001d3a4","0001d392",30,34,0,0,20,20,0,0,5,6,3,3,2,5
"210",100187,14,"0001dbc3","0000cac2",28,33,0,1,19,23,0,0,5,5,3,4,1,0
"211",100188,12,"0001a9ca","0001d5f0",34,37,0,0,20,26,0,0,6,6,3,4,5,1
"212",100189,10,"0001db8f","0000cac0",39,30,0,0,23,18,1,0,6,6,5,3,4,3
"213",100190,13,"0001dc0d","0001dbf8",24,24,0,0,13,14,0,0,3,3,5,5,3,2
"214",100191,10,"0000ce20","0001d586",36,42,0,1,22,23,0,0,5,6,3,6,6,6
"216",100193,11,"0001d57a","0001dbaf",37,44,0,2,27,28,0,0,6,6,3,2,1,6
"218",100194,14,"0001dc0d","0001dbfb",21,16,0,0,12,7,0,0,4,5,3,3,2,1
"219",100195,13,"0001b141","0001d3a8",24,19,0,0,19,16,0,0,4,3,1,0,0,0
"220",100196,12,"0001dbf5","0001d66d",18,22,0,0,11,15,0,0,3,3,3,1,1,3
"221",100197,12,"0001ae08","0001d3a9",31,33,0,0,18,17,0,0,3,6,5,5,5,5
"222",100198,14,"0001dbb4","0001b109",34,31,0,0,22,16,0,0,5,6,5,5,2,4
"223",100199,14,"0001dba3","0001ae07",38,27,0,0,26,16,0,0,5,5,5,4,2,2
"224",100200,10,"0001d668","0001d66b",38,40,0,0,25,29,0,0,6,6,4,5,3,0
"225",100201,10,"0001dc0c","0001dc1c",27,35,0,0,14,19,0,0,4,6,5,4,4,6
"226",100202,14,"0000c9bd","0000cabf",30,31,0,0,21,18,0,0,5,6,2,5,2,2
"227",100203,14,"0001d669","0001a9c1",37,32,0,0,19,20,1,0,6,4,6,6,5,2
"228",100204,12,"0001dc09","0000cee0",36,26,0,0,20,15,0,0,6,6,4,3,6,2
"229",100205,11,"0000cee3","0000cee7",26,23,0,0,15,16,0,0,6,4,3,2,2,1
"231",100206,10,"0001d4e2","0001a9c2",27,22,0,0,18,17,0,0,4,3,4,1,1,1
"233",100207,13,"0001daa3","0001d66d",30,38,0,1,20,24,0,1,5,6,3,5,2,1
"234",100208,13,"0001a9aa","0001d2d3",30,31,0,0,23,24,0,0,5,5,2,2,0,0
"236",100210,14,"0001d497","0001ae1b",24,18,0,0,15,12,0,0,6,3,3,3,0,0
"237",100211,10,"0001dc1c","0001d3a4",30,34,0,2,24,24,0,0,5,6,1,2,0,0
"238",100212,11,"0000cee7","0000c9be",32,35,0,1,24,23,0,0,5,6,2,5,1,0
"239",100213,13,"0001dbf2","0001b105",33,25,0,0,20,17,0,0,5,5,4,3,4,0
"240",100214,12,"0001dc0b","0000cac2",34,29,1,0,23,21,0,0,4,3,4,5,2,0
"241",100215,10,"0001de3e","0000cab9",31,38,0,3,25,24,0,1,6,6,0,4,0,0
"243",100216,11,"0001d57d","0001d586",42,45,0,2,28,25,0,1,5,6,5,5,4,6
"244",100217,11,"0001dbc5","0001b105",38,39,0,0,28,28,0,0,4,6,3,4,3,1
"245",100218,11,"0001dbe1","0001dc20",21,9,0,0,13,4,0,0,5,4,3,1,0,0
"247",100219,10,"0001b141","0001d3aa",33,35,1,0,24,26,0,0,5,5,3,4,0,0
"248",100220,10,"0001a9cc","0001dbfe",27,27,0,0,18,16,0,0,6,6,3,5,0,0
"249",100221,10,"0001a9bf","0001dba6",25,25,0,0,18,19,0,0,3,3,4,3,0,0
"251",100222,10,"0000cee6","0001a9bd",43,33,2,0,22,18,2,1,6,6,5,3,6,5
"252",100223,13,"0000cabf","0001daa3",42,41,1,1,25,26,1,1,6,6,6,5,3,2
"253",100224,14,"0001dc0b","0001d668",33,28,0,0,21,19,0,0,5,5,4,3,3,1
"254",100225,12,"0001b141","0000ca9f",37,30,1,0,24,18,0,0,5,5,4,5,3,2
"255",100226,14,"0001d56a","0000cac0",42,36,2,2,25,24,1,0,6,5,6,2,2,3
"256",100227,14,"0001d578","0001b141",22,23,0,0,15,16,0,0,4,5,3,2,0,0
"257",100228,14,"0001de3e","0001d57a",40,40,0,2,30,27,0,1,6,4,2,4,2,2
"258",100229,12,"0001d30e","0001d580",36,41,2,1,26,28,0,0,5,6,3,4,0,2
"259",100230,12,"0001d4e4","0001d4e3",44,46,1,0,26,28,1,0,6,6,5,6,5,6
"260",100231,13,"0001dbd5","0000ce1d",25,33,0,0,18,21,0,0,4,5,3,4,0,3
"261",100231,14,"0000ce20","0001d2d3",35,33,0,0,25,24,0,0,5,5,4,4,1,0
"262",100232,10,"0001d49a","0001dc0c",24,21,0,0,14,11,0,0,2,4,3,2,5,4
"264",100233,14,"0001dbf5","0001a9c3",42,45,2,2,27,29,0,0,6,6,4,4,3,4
"265",100234,10,"0001d8b4","0000cee6",26,27,0,0,12,11,0,0,6,6,4,3,4,7
"266",100235,14,"0001d669","0001a9c1",33,30,0,0,21,22,0,0,6,5,4,3,2,0
"267",100236,12,"0001dba7","0001d5ea",24,23,0,0,16,16,0,0,5,4,3,3,0,0
"269",100237,11,"0001d3a5","0001dbf5",23,26,0,0,14,16,0,0,6,6,3,4,0,0
"270",100238,14,"0000c9be","0000cab4",27,25,0,0,19,18,0,0,5,4,3,2,0,1
"271",100239,14,"0001d39f","0000c9be",20,26,0,0,12,18,0,0,5,4,3,4,0,0
"272",100240,10,"0001db91","0001dba2",39,39,1,1,20,20,1,1,6,6,4,5,7,6
"273",100241,10,"0001dbd9","0001dbc8",32,36,0,0,21,23,0,0,5,6,4,3,2,4
"274",100242,11,"0001dc09","0001dbce",36,31,0,0,24,22,0,0,5,5,4,3,3,1
"275",100242,12,"0001dbcb","0001d8b5",35,35,0,0,23,19,0,0,5,6,3,5,4,5
"276",100243,11,"0001d569","0001d181",40,49,0,3,30,30,0,2,6,5,3,4,1,5
"277",100244,13,"0001d56b","0001d8b2",41,34,2,0,28,24,1,0,6,5,4,4,0,1
"278",100245,10,"0001d5f0","0001dbf2",33,33,0,0,22,22,0,0,5,5,2,3,4,3
"279",100246,10,"0000caba","0001dbb3",32,35,0,0,19,19,0,0,6,5,4,5,3,6
"280",100247,12,"0001d668","0001a9c1",28,22,0,0,18,15,0,0,5,5,3,2,2,0
"282",100247,13,"0001b0f6","0000ce20",18,18,0,0,12,13,0,0,4,3,2,2,0,0
"283",100248,12,"0001d674","0001dbc2",40,40,0,2,23,22,1,0,6,6,6,6,4,4
"284",100249,13,"0001d590","0001d57a",22,20,0,0,12,14,0,0,6,3,4,3,0,0
"285",100250,14,"0001d591","0001d3a5",43,40,2,1,24,24,1,1,6,6,4,4,6,4
"286",100251,12,"0001d395","0001d32b",32,30,0,0,17,19,0,0,6,5,5,4,4,2
"287",100252,13,"0001dc0b","0001d669",36,30,0,0,23,20,0,0,6,6,5,3,2,1
"288",100253,13,"0000cbf8","0000c9ba",32,24,0,0,21,17,0,0,5,2,4,5,2,0
"289",100254,11,"0001d51c","0001dbd9",35,34,0,0,25,23,0,0,6,6,4,3,0,2
"291",100255,11,"0001dba3","0001b0fa",24,27,0,0,16,19,0,0,4,5,4,3,0,0
"292",100256,12,"0001d66d","0001daa3",32,34,0,1,28,27,0,0,4,4,0,1,0,1
"293",100257,14,"0001d5c7","0001dc0b",25,34,0,0,17,22,0,0,5,6,3,4,0,2
"294",100258,14,"0001dba7","0000cbf8",28,30,0,0,18,20,0,0,5,6,5,3,0,1
"295",100259,10,"0001dbaf","0001dbc5",24,27,0,0,14,15,0,0,5,6,3,3,2,3
"297",100259,11,"0001dbb5","0000ccfb",19,25,0,0,11,14,0,0,6,4,2,3,0,4
"298",100260,10,"0001d56b","0001db8f",39,30,2,0,26,21,0,0,6,6,5,3,0,0
"299",100261,14,"0001dbdc","0001d3aa",26,26,0,0,17,18,0,0,5,5,4,3,0,0
"300",100262,12,"0001dbb5","0001d8b4",44,33,0,0,26,19,1,0,6,6,5,2,6,6
"301",100263,10,"0001d590","0001dbb3",27,30,0,0,16,18,0,0,6,6,5,4,0,2
"302",100264,13,"0001d57b","0001d57d",42,34,0,0,26,21,0,0,6,5,6,5,4,3
"305",100265,13,"0001d588","0001dbd6",22,27,0,0,13,18,0,0,5,6,3,3,1,0
"306",100266,14,"0000c9b3","0001d497",23,28,0,0,13,17,0,0,4,6,4,5,2,0
"307",100267,12,"0001d665","0001d3a0",27,41,0,0,14,24,0,0,5,6,4,6,4,5
"308",100268,11,"0001dc08","0001d3a4",24,25,0,0,13,14,0,0,5,6,4,4,2,1
"309",100269,10,"0000cc35","0001dba3",27,30,0,0,18,20,0,0,6,6,0,4,3,0
"310",100270,11,"0000cee9","0001d577",28,34,0,0,18,19,0,0,6,6,3,5,1,4
"311",100271,12,"0001d668","0001dc0b",38,39,0,0,25,26,0,0,6,6,4,4,3,3
"312",100272,11,"0000cabc","0001db8d",40,37,2,0,25,25,0,0,6,5,4,3,3,4
"313",100273,12,"0001d393","0001d66c",26,24,0,0,16,16,0,0,6,5,4,3,0,0
"316",100274,10,"0001d590","0000caba",26,30,0,0,19,22,0,0,5,4,2,4,0,0
"317",100275,10,"0001dbf8","0001dba6",19,26,0,0,14,17,0,0,4,5,1,3,0,1
"319",100277,13,"0001d3a0","0001dba3",26,23,0,0,17,14,0,0,4,5,5,4,0,0
"320",100278,12,"0000ceeb","0001d182",31,30,0,0,21,23,0,0,5,5,5,2,0,0
"321",100279,13,"0001d8b5","0001d5ea",33,31,0,0,21,20,0,0,6,6,5,5,1,0
"322",100280,14,"0001d3aa","0001dbdc",39,42,1,1,26,28,0,0,6,6,4,4,2,3
"323",100281,14,"0001dbdc","0001d3aa",38,35,0,0,22,24,0,0,6,6,6,5,4,0
"324",100282,10,"0001dbea","0001dbd6",23,24,0,0,18,16,0,0,4,5,1,3,0,0
"325",100283,11,"0001d51c","0001dbd9",24,24,0,0,14,17,0,0,6,4,4,3,0,0
"326",100284,10,"0001ae1b","0000ce21",29,24,0,0,17,12,0,0,6,4,2,4,4,4
"327",100285,10,"0000cabe","0001b0fa",18,22,0,0,10,13,0,0,5,6,2,3,1,0
"328",100285,11,"0001b120","0001ae17",24,24,0,0,14,14,0,0,6,5,4,4,0,1
"329",100286,11,"0001dbb0","0001d2d3",30,34,0,0,22,23,0,0,5,6,3,5,0,0
"330",100287,11,"0001d570","0000c9b7",32,29,0,0,25,22,0,0,5,3,2,4,0,0
"331",100288,14,"0001dba7","0000cbf8",35,25,0,0,23,16,0,0,6,6,5,3,1,0
"332",100289,14,"0000cab9","0001dbc5",43,40,0,0,25,29,1,0,6,4,5,3,6,4
"333",100290,11,"0000cee7","0001d39f",29,26,0,0,21,16,0,0,4,6,3,4,1,0
"334",100291,13,"0001b109","0001dbb5",27,29,0,0,18,18,0,0,4,4,2,5,3,2
